bpm 147
Half None Rest
Whole None Rest
Whole None Rest
Whole None Rest
Whole None Rest
Eighth None Rest
Eighth None Re
Eighth None Re
Eighth None Re
Eighth None Re
Eighth None Re
Eighth None Rest
Eighth None Re
Eighth None Do
Eighth None Do
Eighth None La
Eighth None Fa
Eighth None Rest
Quarter None Rest
Eighth None Fa
Quarter None Re
Eighth None Re
Eighth None Re
Eighth None Do
Eighth Sharp La
Quarter None Do
Whole None Rest
Eighth None Rest
Eighth Sharp Re
Eighth Sharp Re
Eighth Sharp Re
Quarter Sharp Re
Eighth None Rest
Eighth Sharp Re
Eighth None Re
Eighth None Re
Eighth None Do
Eighth Sharp La
Quarter None Rest
Eighth None Rest
Eighth Sharp La
Quarter None Re
Eighth None Re
Quarter None Do
Eighth Sharp La
Half None Re
Half None Rest
Eighth None Re
Eighth None Re
Eighth None Re
Quarter None Re
Eighth None Re
Quarter None Do
Eighth None La
Eighth None Fa
Half None Rest
Quarter None Re
Eighth None Re
Eighth None Re
Eighth None Do
Eighth Sharp La
Quarter None Do
Whole None Rest
Eighth None Rest
Eighth Sharp Re
Eighth Sharp Re
Eighth Sharp Re
Quarter Sharp Re
Eighth None Rest
Eighth Sharp Re
Eighth None Re
Eighth None Re
Eighth None Do
Eighth Sharp La
Quarter None Rest
Eighth None Rest
Eighth Sharp La
Quarter None Re
Eighth None Re
Eighth None Do
Eighth None Do
Eighth Sharp La
Half None Re
Eighth None Rest
Eighth None Re
Eighth None Fa
Eighth None Sol
Quarter None Rest
Eighth None Re
Eighth None Re
Eighth None Fa
Quarter None Sol
Quarter None Sol
Quarter None Fa
Whole None Rest
Eighth None Sol
Eighth None Sol
Eighth None La
Eighth Sharp Si
Quarter None La
Quarter None Sol
Quarter None Fa
Eighth None Re
Eighth None Fa
Eighth None Sol
Quarter None Rest
Quarter None Sol
Eighth None Sol
Eighth None Sol
Eighth None Fa
Eighth None Re
Eighth None Do
Quarter Sharp La
Eighth None Rest
Eighth Sharp La
Eighth None Do
Quarter None Re
Eighth None Re
Eighth None Re
Eighth None Do
Eighth Sharp La
Half None Re
Quarter None Rest
Eighth None Rest
Eighth None Re
Eighth None Fa
Eighth None Sol
Quarter None Rest
Eighth None Re
Eighth None Re
Eighth None Fa
Quarter None Sol
Quarter None Sol
Quarter None Fa
Whole None Rest
Eighth None Sol
Eighth None Sol
Eighth None La
Eighth Sharp La
Quarter None La
Quarter None Sol
Quarter None Fa
Quarter None Rest
Eighth None Rest
Eighth Sharp Re
Quarter Sharp La
Quarter Sharp La
Quarter None Sol
Quarter None Fa
Quarter Sharp La
Quarter Sharp La
Quarter None Rest
Eighth None Rest
Whole None Rest
Whole None Rest
Whole None Rest
Quarter None Rest
Eighth None La
Eighth None La
Eighth None Re
